model,normal_RMSE,tda_RMSE,RMSE_diff_tda_minus_normal,RMSE_improvement_rate_pct,RMSE_improved,normal_MAE,tda_MAE,MAE_diff_tda_minus_normal,MAE_improvement_rate_pct,MAE_improved,normal_MASE,tda_MASE,MASE_diff_tda_minus_normal,MASE_improved,normal_R2,tda_R2,R2_diff_tda_minus_normal,R2_improved
GradientBoosting,0.2205436903591362,0.22076685708278174,0.00022316672364552925,-0.1011893485966983,False,0.15825409436506424,0.15920647484205466,0.000952380476990422,-0.601804636279077,False,0.6038235119920324,0.6074573498821436,0.00363383789011118,False,0.4461690320071474,0.4450476290261981,-0.0011214029809493153,False
RandomForest,0.22232716558601817,0.2226409978611041,0.00031383227508594014,-0.1411578626744642,False,0.1631975189022447,0.1661937957673212,0.0029962768650765026,-1.835981873518109,False,0.6226853049667035,0.6341176942949531,0.011432389328249637,False,0.43717546149198383,0.4355853978552441,-0.001590063636739747,False
Ridge,0.2284759709502848,0.2370154079910714,0.008539437040786607,-3.7375646135867586,False,0.1690149253105385,0.17989589154042043,0.010880966229881939,-6.437872992512268,False,0.6448818034663742,0.6863984749253621,0.04151667145898785,False,0.40561338002804315,0.36035189027072334,-0.045261489757319806,False
