H0_n_points,H0_lifetime_max,H0_lifetime_sum,H0_lifetime_mean,H0_lifetime_median,H0_lifetime_std,H0_lifetime_q25,H0_lifetime_q75,H0_n_long_lifetime,H0_persistence_entropy,H1_n_points,H1_lifetime_max,H1_lifetime_sum,H1_lifetime_mean,H1_lifetime_median,H1_lifetime_std,H1_lifetime_q25,H1_lifetime_q75,H1_n_long_lifetime,H1_persistence_entropy,H1_lifetime_top1,H1_lifetime_top2,H1_lifetime_top3,H1_lifetime_top4,H1_lifetime_top5,H1_max_to_sum_ratio,H1_top2_to_top1_ratio,H1_top1_minus_top2,tda_window_size,tda_point_cloud_n_points,tda_embedding_dim,tda_delay,tda_stride,date
149,8.483282089233398,840.8520560264587,5.64330238943932,5.894402027130127,1.5408376342922467,4.000626564025879,6.98740291595459,15,4.965618013111356,121,0.8720188140869141,31.912017822265625,0.2637356844815341,0.24061203002929688,0.19249010988260362,0.11320018768310547,0.37347888946533203,13,4.52021642331413,0.8720188140869141,0.8368864059448242,0.7430238723754883,0.7114219665527344,0.6917409896850586,0.027325718447001174,0.9597114103795148,0.035132408142089844,180,150,30,1,1,2007-06-13
149,8.152966499328613,808.7856810092926,5.428091818854313,5.6543684005737305,1.4857858823847716,3.8258612155914307,6.746674537658691,15,4.9657534910617835,115,0.8720188140869141,31.680222511291504,0.2754801957503609,0.24569082260131836,0.18577813463801068,0.13453054428100586,0.38899779319763184,12,4.503585769394398,0.8720188140869141,0.8394174575805664,0.7114219665527344,0.6496686935424805,0.6190123558044434,0.027525653071916022,0.9626139299064501,0.032601356506347656,180,150,30,1,1,2007-06-20
149,7.911849021911621,790.8286836147308,5.307575057816986,5.139360427856445,1.4663324949212833,3.8058581352233887,6.644308567047119,15,4.965510481721812,111,0.8720188140869141,30.352890968322754,0.27344946818308785,0.24445009231567383,0.1894559993936737,0.11803770065307617,0.3950529098510742,12,4.454369789617175,0.8720188140869141,0.821436882019043,0.7114219665527344,0.6496686935424805,0.6190123558044434,0.028729349536984163,0.9419944486853358,0.050581932067871094,180,150,30,1,1,2007-06-27
149,7.911849021911621,783.3980028629303,5.257704717200874,4.893157958984375,1.4830370589730273,3.8058581352233887,6.6509857177734375,15,4.964309963064643,121,0.821436882019043,27.810226440429688,0.22983658215231148,0.19187211990356445,0.16523139639034617,0.10851812362670898,0.3278379440307617,13,4.527805054313681,0.821436882019043,0.6496686935424805,0.6190123558044434,0.5551533699035645,0.5416030883789062,0.02953722378990997,0.7908930165707114,0.1717681884765625,180,150,30,1,1,2007-07-04
149,7.911849021911621,777.1383337974548,5.21569351541916,4.5162835121154785,1.5155333395756454,3.793484926223755,6.67159366607666,15,4.9620853315808215,130,0.821436882019043,31.005151748657227,0.2385011672973633,0.23183584213256836,0.1666771038453463,0.10081779956817627,0.3596968650817871,13,4.6048218252122215,0.821436882019043,0.6496686935424805,0.6190123558044434,0.5662732124328613,0.5551533699035645,0.0264935610919762,0.7908930165707114,0.1717681884765625,180,150,30,1,1,2007-07-11
149,7.911849021911621,770.7259497642517,5.172657380968133,4.190843105316162,1.6015538132296994,3.675657033920288,6.791871070861816,15,4.956233778166931,135,0.821436882019043,31.52831268310547,0.23354305691189237,0.1973271369934082,0.17432428416119,0.08301377296447754,0.33826541900634766,14,4.616492746025324,0.821436882019043,0.7688322067260742,0.6474404335021973,0.6238284111022949,0.6190123558044434,0.02605394364980439,0.9359601736366285,0.05260467529296875,180,150,30,1,1,2007-07-18
149,7.911849021911621,741.8755984306335,4.9790308619505605,4.069729804992676,1.700412277680075,3.600541591644287,6.718577861785889,15,4.945737727525357,134,0.821436882019043,30.610641717910767,0.22843762476052812,0.19330263137817383,0.15867551114139097,0.10545963048934937,0.33511030673980713,14,4.645740455433295,0.821436882019043,0.6190123558044434,0.5662732124328613,0.5551533699035645,0.5416030883789062,0.02683501017681728,0.753572635164552,0.2024245262145996,180,150,30,1,1,2007-07-25
149,7.911849021911621,708.5969932079315,4.7556845181740375,3.978133201599121,1.7280359581589537,3.5149734020233154,6.632965087890625,15,4.93889429015106,135,0.821436882019043,29.224624633789062,0.2164787009910301,0.1788644790649414,0.16057800830148114,0.07250547409057617,0.31586766242980957,14,4.6236429927884455,0.821436882019043,0.6190123558044434,0.5662732124328613,0.5551533699035645,0.5416030883789062,0.028107696585067864,0.753572635164552,0.2024245262145996,180,150,30,1,1,2007-08-01
149,7.911849021911621,678.3979830741882,4.553006597813344,3.8098795413970947,1.6960399980546312,3.4626972675323486,6.538768291473389,15,4.936965278125351,136,0.821436882019043,29.267409801483154,0.21520154265796437,0.17571496963500977,0.16067327714928684,0.07053875923156738,0.3156818151473999,14,4.627887774149365,0.821436882019043,0.6190123558044434,0.5662732124328613,0.5551533699035645,0.5416030883789062,0.028066606768099304,0.753572635164552,0.2024245262145996,180,150,30,1,1,2007-08-08
149,7.911849021911621,645.3956303596497,4.33151429771577,3.733839273452759,1.5845508598991171,3.372205972671509,5.605598449707031,15,4.940451926362138,147,0.821436882019043,30.461924076080322,0.20722397330666886,0.16791725158691406,0.15805146291572278,0.06947755813598633,0.30801844596862793,15,4.6976946996360445,0.821436882019043,0.6190123558044434,0.5662732124328613,0.5551533699035645,0.5416030883789062,0.02696602092393965,0.753572635164552,0.2024245262145996,180,150,30,1,1,2007-08-15
149,7.366025924682617,615.0856578350067,4.128091663322193,3.675657033920288,1.4580774011136792,3.2392687797546387,4.234415054321289,15,4.945676114102403,152,0.821436882019043,29.58674931526184,0.19464966654777527,0.15961182117462158,0.15701603128062644,0.06500524282455444,0.29720747470855713,16,4.702877642881073,0.821436882019043,0.6190123558044434,0.5662732124328613,0.5551533699035645,0.5416030883789062,0.027763674652670215,0.753572635164552,0.2024245262145996,180,150,30,1,1,2007-08-22
149,7.366025924682617,588.0435280799866,3.9466008595972255,3.6047279834747314,1.3511495091002288,3.013206958770752,4.060365200042725,15,4.950315518638286,147,0.821436882019043,28.4736430644989,0.1936982521394483,0.16202616691589355,0.1564300816966943,0.06678617000579834,0.28846120834350586,15,4.673818630416638,0.821436882019043,0.6190123558044434,0.5662732124328613,0.5551533699035645,0.5416030883789062,0.028849026454335767,0.753572635164552,0.2024245262145996,180,150,30,1,1,2007-08-29
149,7.366025924682617,558.9044673442841,3.751036693585799,3.5247325897216797,1.1940418762093739,2.9789810180664062,3.877152681350708,15,4.958215466603628,149,0.821436882019043,28.55031681060791,0.19161286450072423,0.14896202087402344,0.1547995783726797,0.07345151901245117,0.26960277557373047,15,4.696872460500446,0.821436882019043,0.6190123558044434,0.5662732124328613,0.5551533699035645,0.5416030883789062,0.02877155050391024,0.753572635164552,0.2024245262145996,180,150,30,1,1,2007-09-05
149,6.740644454956055,531.9172368049622,3.5699143409729004,3.476987600326538,0.9878780744158984,2.9789810180664062,3.785057544708252,15,4.969439943968917,147,0.5662732124328613,23.328660249710083,0.15869836904564683,0.11425590515136719,0.1299738846491052,0.05936121940612793,0.21067309379577637,15,4.669084967640429,0.5662732124328613,0.5416030883789062,0.5209426879882812,0.4845261573791504,0.459871768951416,0.024273713379657055,0.9564342379044108,0.024670124053955078,180,150,30,1,1,2007-09-12
149,6.461073875427246,502.96631145477295,3.375612828555523,3.343596935272217,0.7098005570833062,2.942087411880493,3.673809289932251,15,4.983231860589468,140,0.5662732124328613,18.020498991012573,0.1287178499358041,0.1043163537979126,0.11065331343604741,0.0472148060798645,0.17581123113632202,14,4.605698651518389,0.5662732124328613,0.5346674919128418,0.5209426879882812,0.42526936531066895,0.4225456714630127,0.031423836416254666,0.9441864460015107,0.03160572052001953,180,150,30,1,1,2007-09-19
149,4.346620559692383,474.0120437145233,3.1812888839900895,3.09945011138916,0.48946097553671514,2.8773820400238037,3.5274710655212402,15,4.99202578287223,112,0.42526936531066895,11.074505805969238,0.09887951612472534,0.0746232271194458,0.0794043009657798,0.037524521350860596,0.13870877027511597,12,4.422767829794355,0.42526936531066895,0.3331890106201172,0.2953152656555176,0.2701840400695801,0.26877498626708984,0.03840075329424142,0.7834775739764727,0.09208035469055176,180,150,30,1,1,2007-09-26
149,4.346620559692383,465.73769211769104,3.125756322937524,3.013206958770752,0.49264424962935016,2.844773769378662,3.463787317276001,15,4.991550742927519,107,0.42526936531066895,11.01615023612976,0.10295467510401646,0.07312178611755371,0.0882193481809904,0.036318421363830566,0.1559603214263916,11,4.340193312051787,0.42526936531066895,0.3873748779296875,0.3830904960632324,0.3331890106201172,0.29135608673095703,0.03860417261884369,0.910892976376752,0.037894487380981445,180,150,30,1,1,2007-10-03
149,4.346620559692383,461.85822105407715,3.0997196043897794,3.0012283325195312,0.481320056758444,2.8402554988861084,3.3606603145599365,15,4.991980944873783,107,0.42526936531066895,12.145915508270264,0.1135132290492548,0.08613371849060059,0.09338843190104577,0.043239474296569824,0.16437053680419922,11,4.360970998396868,0.42526936531066895,0.3873748779296875,0.3830904960632324,0.3573331832885742,0.3331890106201172,0.035013364371018325,0.910892976376752,0.037894487380981445,180,150,30,1,1,2007-10-10
149,4.346620559692383,462.6593861579895,3.105096551395903,2.9980719089508057,0.486708470563144,2.8402554988861084,3.4179587364196777,15,4.9917466198581675,126,0.42526936531066895,14.39789628982544,0.11426901817321777,0.09196388721466064,0.09038519567188051,0.04397392272949219,0.16554272174835205,13,4.542719084348596,0.42526936531066895,0.3873748779296875,0.3830904960632324,0.3573331832885742,0.3331890106201172,0.02953690988948115,0.910892976376752,0.037894487380981445,180,150,30,1,1,2007-10-17
149,4.346620559692383,467.44034481048584,3.137183522218026,3.0402824878692627,0.5021726292032741,2.8402554988861084,3.564307928085327,15,4.991141020155197,146,0.42526936531066895,17.66556215286255,0.12099700104700375,0.10433721542358398,0.08946108920768467,0.047785937786102295,0.17675447463989258,15,4.717788992643593,0.42526936531066895,0.3873748779296875,0.3830904960632324,0.3573331832885742,0.3331890106201172,0.024073355924411257,0.910892976376752,0.037894487380981445,180,150,30,1,1,2007-10-24
149,4.346620559692383,472.6389329433441,3.172073375458685,3.0402824878692627,0.5306285219694574,2.8402554988861084,3.617406129837036,15,4.989929987437403,146,0.42526936531066895,17.663771390914917,0.12098473555421176,0.10538327693939209,0.08809316205182473,0.04843062162399292,0.1745537519454956,15,4.7224628321289615,0.42526936531066895,0.3873748779296875,0.3830904960632324,0.3331890106201172,0.3329951763153076,0.024075796493233576,0.910892976376752,0.037894487380981445,180,150,30,1,1,2007-10-31
149,4.435249328613281,477.25324726104736,3.2030419279264923,3.0402824878692627,0.5689834491640101,2.8402554988861084,3.6346566677093506,15,4.988211182938667,152,0.6019206047058105,19.481820344924927,0.12816987069029556,0.10745692253112793,0.10151802440613909,0.049168169498443604,0.1774941086769104,16,4.741667461762241,0.6019206047058105,0.5482983589172363,0.42526936531066895,0.3873748779296875,0.3830904960632324,0.030896527842307748,0.9109147529269542,0.05362224578857422,180,150,30,1,1,2007-11-07
149,4.740856170654297,484.8272716999054,3.2538743067107743,3.0402824878692627,0.6422703589106874,2.8402554988861084,3.665465831756592,15,4.984750550578065,153,0.5057945251464844,19.734047412872314,0.1289807020449171,0.10621881484985352,0.10316924043833323,0.05118370056152344,0.17746376991271973,16,4.739631562088363,0.5057945251464844,0.47075605392456055,0.4672107696533203,0.42526936531066895,0.3873748779296875,0.02563055183583677,0.9307258788303882,0.03503847122192383,180,150,30,1,1,2007-11-14
149,5.016105651855469,490.1931619644165,3.2898869930497754,3.0402824878692627,0.7007972427401628,2.8402554988861084,3.665465831756592,15,4.981827716928617,160,0.5263266563415527,21.228978157043457,0.13268111348152162,0.10653841495513916,0.10635988446749953,0.05096232891082764,0.18283218145370483,16,4.779588408853774,0.5263266563415527,0.4895782470703125,0.42526936531066895,0.41574811935424805,0.40993356704711914,0.024792839883672188,0.9301794639726686,0.036748409271240234,180,150,30,1,1,2007-11-21
149,5.003268718719482,493.8224000930786,3.314244295926702,3.0402824878692627,0.7407631577626685,2.8402554988861084,3.665465831756592,15,4.9797471777536115,164,0.5263266563415527,21.708374500274658,0.1323681371967967,0.10653841495513916,0.10697658398925634,0.05010789632797241,0.18283218145370483,17,4.799722971375948,0.5263266563415527,0.4895782470703125,0.4414834976196289,0.42526936531066895,0.41574811935424805,0.02424532782659031,0.9301794639726686,0.036748409271240234,180,150,30,1,1,2007-11-28
149,5.034585952758789,500.0634868144989,3.3561307839899257,3.0402824878692627,0.7909460313536076,2.8402554988861084,4.1291022300720215,15,4.977055879978476,171,0.63525390625,24.993643283843994,0.14616165663066663,0.10976099967956543,0.1268313794672714,0.05228757858276367,0.19513189792633057,18,4.8080635700940615,0.63525390625,0.6327242851257324,0.5263266563415527,0.5001964569091797,0.4895782470703125,0.025416618899279524,0.9960179369235204,0.002529621124267578,180,150,30,1,1,2007-12-05
149,5.034585952758789,509.77462935447693,3.4213062372783685,3.0402824878692627,0.8367568516606914,2.8402554988861084,4.290747165679932,15,4.9747097191298995,172,0.6675419807434082,29.55366063117981,0.17182360832081284,0.12734925746917725,0.1471053808550932,0.054253578186035156,0.2292250394821167,18,4.80789604188669,0.6675419807434082,0.63525390625,0.6327242851257324,0.5694179534912109,0.5404596328735352,0.022587455038958378,0.9516313948413393,0.0322880744934082,180,150,30,1,1,2007-12-12
