feature_set,model,MAE,RMSE,MAPE,MASE,R2
normal_only,GradientBoosting,0.15825409436506424,0.2205436903591362,17.633340768727635,0.6038235119920324,0.4461690320071474
normal_plus_tda,GradientBoosting,0.15920647484205466,0.22076685708278174,18.435806937373915,0.6074573498821436,0.4450476290261981
normal_only,RandomForest,0.1631975189022447,0.22232716558601817,18.603583591059138,0.6226853049667035,0.43717546149198383
normal_plus_tda,RandomForest,0.1661937957673212,0.2226409978611041,19.388910074915124,0.6341176942949531,0.4355853978552441
normal_only,Ridge,0.1690149253105385,0.2284759709502848,19.49432545431888,0.6448818034663742,0.40561338002804315
normal_plus_tda,Ridge,0.17989589154042043,0.2370154079910714,21.366028298472216,0.6863984749253621,0.36035189027072334
